A,,,
0.64,,,
,,,
B,,,
0.03,,,
,,,
A,B,G,C
TRUE,TRUE,TRUE,0.28
TRUE,TRUE,FALSE,0.23
TRUE,FALSE,TRUE,0.73
TRUE,FALSE,FALSE,0.67
FALSE,TRUE,TRUE,0.88
FALSE,TRUE,FALSE,0.1
FALSE,FALSE,TRUE,0.42
FALSE,FALSE,FALSE,0.04
,,,
A,F,D,
TRUE,TRUE,0.22,
TRUE,FALSE,0.51,
FALSE,TRUE,0.2,
FALSE,FALSE,0.65,
,,,
C,D,E,
TRUE,TRUE,0.54,
TRUE,FALSE,0.59,
FALSE,TRUE,0.02,
FALSE,FALSE,0.69,
,,,
F,,,
0.34,,,
,,,
G,,,
0.16,,,
,,,
E,D,H,
TRUE,TRUE,0.95,
TRUE,FALSE,0.6,
FALSE,TRUE,0.38,
FALSE,FALSE,0.55,
